difficulty,composite_score,bleu,rouge1,rouge2,rougeL,precision,recall,f1,abs_error,rel_error_%
complex,0.2892841788728482,0.07238762618501304,0.38702470990468296,0.1867262133084918,0.2553227310401989,0.8522011786699295,0.8857675343751907,0.8686009049415588,0.02499999999999858,0.035360678925033355
easy,0.41578253202497206,0.17795989394802536,0.5090467908986959,0.3173231534944992,0.3902613745930255,0.8832059502601624,0.906644320487976,0.8943076133728027,0.0,0.0
moderate,0.4153827430316183,0.1415062089444787,0.5027114133157025,0.29495195934249036,0.3746037314716738,0.8870633925710406,0.9092778818947929,0.8979719366346087,540.5181100000001,18.39409725890449
