Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"9,308,000","3,907.33","2,382",Jul-25,CORONATION ROAD WEST,Resale,Land,363,"25,642",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
THOMSON RIDGE,"8,000,000","3,208.75","2,493",Jul-25,THOMSON RIDGE,Resale,Land,298.1,"26,837",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
DUNEARN ESTATE,"16,380,000","5,384.15","3,042",Jul-25,HARLYN ROAD,Resale,Land,500.2,"32,747",-,Detached House,1,Freehold,11,Core Central Region,-
HILLVIEW GARDEN ESTATE,"4,600,000","2,497.25","1,842",Jul-25,JALAN ZAMRUD,Resale,Land,232,"19,828",-,Terrace House,1,Freehold,23,Outside Central Region,-
KINGSVILLE,"5,080,000","2,896.59","1,754",Jul-25,KING'S DRIVE,Resale,Land,269.1,"18,878",-,Semi-Detached House,1,102 yrs lease commencing from 1996,10,Core Central Region,-
DAISY PARK,"3,750,000","1,659.81","2,259",Jul-25,DAISY AVENUE,Resale,Land,154.2,"24,319",-,Terrace House,1,Freehold,13,Outside Central Region,-
SELETAR HILLS ESTATE,"3,800,000","1,752.38","2,168",Jul-25,NERAM ROAD,Resale,Land,162.8,"23,342",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,000,000","3,245.35","1,849",Jul-25,TOH YI DRIVE,Resale,Land,301.5,"19,900",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,851,000","1,689.95","2,279",Jul-25,JALAN KRIAN,Resale,Land,157,"24,529",-,Terrace House,1,Freehold,14,Outside Central Region,-
SENNETT ESTATE,"3,480,000","1,500.5","2,319",Jul-25,MULBERRY AVENUE,Resale,Land,139.4,"24,964",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,768,000","2,306.73","1,633",Jul-25,MANDAI ROAD,Resale,Land,214.3,"17,583",-,Terrace House,1,Freehold,26,Outside Central Region,-
