Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE LAKESHORE,"1,880,000","1,173.28","1,602",Sep-24,JURONG WEST STREET 41,Resale,Strata,109.0,"17,248",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,16 to 20
REGENT HEIGHTS,"1,068,000","1,022.58","1,044",Sep-24,BUKIT BATOK EAST AVENUE 5,Resale,Strata,95.0,"11,242",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,16 to 20
THE TENNERY,"1,090,000",861.12,"1,266",Sep-24,WOODLANDS ROAD,Resale,Strata,80.0,"13,625",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,06 to 10
MIDWOOD,"860,000",484.38,"1,775",Sep-24,HILLVIEW RISE,Resale,Strata,45.0,"19,111",-,Condominium,1,99 yrs lease commencing from 2018,23,Outside Central Region,11 to 15
ROSEWOOD,"1,280,000","1,173.28","1,091",Sep-24,ROSEWOOD DRIVE,Resale,Strata,109.0,"11,743",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,16 to 20
CASPIAN,"1,850,000","1,194.8","1,548",Sep-24,LAKESIDE DRIVE,Resale,Strata,111.0,"16,667",-,Condominium,1,99 yrs lease commencing from 2008,22,Outside Central Region,11 to 15
PARC OASIS,"1,588,000","1,227.1","1,294",Sep-24,JURONG EAST AVENUE 1,Resale,Strata,114.0,"13,930",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,06 to 10
THE LAKEFRONT RESIDENCES,"820,888",484.38,"1,695",Sep-24,LAKESIDE DRIVE,Resale,Strata,45.0,"18,242",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,01 to 05
NATURA@HILLVIEW,"1,050,000",721.19,"1,456",Sep-24,HILLVIEW TERRACE,Resale,Strata,67.0,"15,672",-,Apartment,1,Freehold,23,Outside Central Region,01 to 05
THE TENNERY,"1,270,000",936.47,"1,356",Sep-24,WOODLANDS ROAD,Resale,Strata,87.0,"14,598",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,11 to 15
HILLBROOKS,"1,530,000","1,065.64","1,436",Sep-24,HILLVIEW AVENUE,Resale,Strata,99.0,"15,455",-,Condominium,1,Freehold,23,Outside Central Region,06 to 10
HILLVIEW HEIGHTS,"2,520,000","1,431.61","1,760",Sep-24,HILLVIEW AVENUE,Resale,Strata,133.0,"18,947",-,Condominium,1,Freehold,23,Outside Central Region,06 to 10
PARC BOTANNIA,"1,750,000",979.52,"1,787",Sep-25,FERNVALE STREET,Resale,Strata,91.0,"19,231",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,11 to 15
PARC BOTANNIA,"1,280,000",785.77,"1,629",Sep-25,FERNVALE STREET,Resale,Strata,73.0,"17,534",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,16 to 20
YISHUN EMERALD,"1,580,000","1,399.32","1,129",Sep-25,CANBERRA DRIVE,Resale,Strata,130.0,"12,154",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,06 to 10
SYMPHONY SUITES,"1,020,000",796.54,"1,281",Sep-25,YISHUN CLOSE,Resale,Strata,74.0,"13,784",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
