town,flat_type,block / building,street_name,storey,floor_area_sqm,flat_model,lease_commence_date,rental_date,property_type
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,THE SOLITAIRE,BALMORAL PARK,01,115.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",3 ROOM,KASTURINA LODGE,KAY POH ROAD,06,70.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
Little India,4 ROOM,CITYLIGHTS,JELLICOE ROAD,26,86.0,Condominium,2004,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,CAIRNHILL NINE,CAIRNHILL ROAD,11,96.0,Apartment,2014,2025-05-01,Condo / Private Apartment
Little India,4 ROOM,CITY STUDIOS,RACE COURSE LANE,06,95.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,HORIZON TOWERS,LEONIE HILL ROAD,01,214.0,Condominium,1979,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",3 ROOM,JUNIPER HILL,EWE BOON ROAD,06,67.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,HORIZON TOWERS,LEONIE HILL ROAD,06,221.0,Condominium,1979,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,SUI GENERIS,BALMORAL CRESCENT,01,198.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,PARC MACKENZIE,MACKENZIE ROAD,06,84.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,BOULEVARD 88,ORCHARD BOULEVARD,16,122.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",1 ROOM,VIVACE,TONG WATT ROAD,06,37.0,Apartment,1841,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",3 ROOM,SCOTTS SQUARE,SCOTTS ROAD,36,59.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",3 ROOM,SOPHIA HILLS,MOUNT SOPHIA,06,53.0,Condominium,2013,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",5 ROOM,CENTENNIA SUITES,KIM SENG ROAD,21,115.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Middle Road, Golden Mile",3 ROOM,SOUTHBANK,NORTH BRIDGE ROAD,16,55.0,Apartment,2006,2025-05-01,Condo / Private Apartment
Little India,2 ROOM,CAVAN SUITES,CAVAN ROAD,01,43.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,CENTENNIA SUITES,KIM SENG ROAD,26,167.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,EURO-ASIA COURT,RIVER VALLEY CLOSE,16,155.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",MANSIONETTE,WING ON LIFE GARDEN,BUKIT TIMAH ROAD,21,325.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Middle Road, Golden Mile",3 ROOM,CITY GATE,BEACH ROAD,26,75.0,Apartment,2014,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,KIM SIA COURT,JALAN JINTAN,01,99.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,YONG AN PARK,RIVER VALLEY ROAD,11,289.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,LA CRYSTAL,KILLINEY ROAD,06,84.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",2 ROOM,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,11,46.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",3 ROOM,MARTIN MODERN,MARTIN PLACE,06,71.0,Condominium,2016,2025-05-01,Condo / Private Apartment
Little India,4 ROOM,OXFORD SUITES,OXFORD ROAD,11,83.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,LUTHERAN TOWERS,TAN KIM CHENG ROAD,01,178.0,Apartment,1974,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,CORONA VILLE,JALAN HAJI ALIAS,01,141.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,CAIRNHILL CREST,CAIRNHILL CIRCLE,11,184.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,LUSH ON HOLLAND HILL,HOLLAND HILL,01,140.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Middle Road, Golden Mile",4 ROOM,TEXTILE CENTRE,JALAN SULTAN,11,85.0,Apartment,1970,2025-05-01,Condo / Private Apartment
Little India,EXECUTIVE,RACE COURSE 138,RACE COURSE ROAD,01,134.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,2 RVG,RIVER VALLEY GROVE,01,86.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,WILLYN VILLE,HOLLAND AVENUE,01,161.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
Little India,5 ROOM,RANGOON VIEW,RANGOON ROAD,01,124.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",3 ROOM,THE PEAK @ CAIRNHILL I,CAIRNHILL CIRCLE,11,64.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,MON JERVOIS,JERVOIS ROAD,01,129.0,Condominium,2012,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,CAVENAGH GARDENS,CAVENAGH ROAD,01,108.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",3 ROOM,EMILY RESIDENCE,MOUNT EMILY ROAD,06,61.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",2 ROOM,TRIBECA,KIM SENG ROAD,06,48.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,THE HYDE,BALMORAL ROAD,06,116.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,GAMBIER COURT,KIM YAM ROAD,06,138.0,Apartment,1997,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,SUI GENERIS,BALMORAL CRESCENT,06,198.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,KUM HING COURT,TOMLINSON ROAD,01,151.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",4 ROOM,THE ASTON,KAY POH ROAD,06,94.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
Little India,3 ROOM,FARRER PARK SUITES,OWEN ROAD,01,77.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,RIVERIA GARDENS,RIVER VALLEY GROVE,01,133.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,RIVERSHIRE,LEONIE HILL,11,194.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",3 ROOM,NATHAN RESIDENCES,NATHAN ROAD,11,73.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",2 ROOM,NEWTON EDGE,MAKEWAY AVENUE,06,41.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",MANSIONETTE,DRAYCOTT EIGHT,DRAYCOTT PARK,21,269.0,Condominium,1997,2025-05-01,Condo / Private Apartment
"Middle Road, Golden Mile",4 ROOM,SUNSHINE PLAZA,PRINSEP LINK,11,83.0,Apartment,1997,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,ST MARTIN RESIDENCE,ST. MARTIN'S DRIVE,01,142.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Middle Road, Golden Mile",3 ROOM,DUO RESIDENCES,FRASER STREET,11,67.0,Apartment,2011,2025-05-01,Condo / Private Apartment
"Middle Road, Golden Mile",5 ROOM,SUNSHINE PLAZA,PRINSEP LINK,06,125.0,Apartment,1997,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",3 ROOM,RV ALTITUDE,RIVER VALLEY ROAD,21,56.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,THE MARBELLA,MOUNT SINAI RISE,16,137.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,MONTVIEW,MOUNT SINAI DRIVE,01,137.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
Little India,1 ROOM,CITY LOFT,RACE COURSE ROAD,01,35.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,THE TESSARINA,WILBY ROAD,06,124.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,THE SCOTTS TOWER,SCOTTS ROAD,16,81.0,Condominium,2010,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,HALLMARK RESIDENCES,EWE BOON ROAD,01,173.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
Little India,3 ROOM,KENT RESIDENCES,KENT ROAD,01,52.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
Little India,EXECUTIVE,VOGX,DORSET ROAD,01,144.0,Apartment,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",5 ROOM,PATERSON RESIDENCE,PATERSON ROAD,16,122.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,8 SAINT THOMAS,ST. THOMAS WALK,31,81.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",5 ROOM,THE COSMOPOLITAN,KIM SENG ROAD,11,123.0,Condominium,Freehold,2025-05-01,Condo / Private Apartment
"Middle Road, Golden Mile",4 ROOM,CONCOURSE SKYLINE,BEACH ROAD,31,108.0,Apartment,2008,2025-05-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,CUSCADEN RESERVE,CUSCADEN ROAD,21,195.0,Condominium,2018,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,OUE TWIN PEAKS,LEONIE HILL ROAD,06,130.0,Condominium,2010,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",4 ROOM,PARVIS,HOLLAND HILL,01,92.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,CUSCADEN RESIDENCES,CUSCADEN ROAD,16,138.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,TRIBECA,KIM SENG ROAD,11,96.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",MANSIONETTE,CLIVEDEN AT GRANGE,GRANGE ROAD,06,200.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",3 ROOM,ESPADA,ST. THOMAS WALK,11,60.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,THE SERENADE @ HOLLAND,HOLLAND ROAD,16,140.0,Condominium,2001,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",3 ROOM,MOUNT SOPHIA SUITES,SOPHIA ROAD,01,59.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,MARTIN NO 38,MARTIN ROAD,01,90.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,BOTANIC GARDENS VIEW,TAMAN SERASI,06,117.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,MARTINA MANSIONS,BUKIT TIMAH ROAD,01,117.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,CAIRNHILL PLAZA,CAIRNHILL ROAD,16,265.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,CASA JERVOIS,JERVOIS ROAD,01,114.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,SLOANE RESIDENCES,BALMORAL ROAD,06,116.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",MANSIONETTE,BEAVERTON COURT,MOUNT SINAI RISE,11,290.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
Little India,3 ROOM,FORTE SUITES,MERGUI ROAD,16,58.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",5 ROOM,THE LAURELS,CAIRNHILL ROAD,06,121.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,THE WHARF RESIDENCE,TONG WATT ROAD,-,413.0,Condominium,1841,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",3 ROOM,STELLAR RV,RIVER VALLEY ROAD,01,50.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,ROBERTSON EDGE,TONG WATT ROAD,06,81.0,Apartment,1841,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,BALMORAL 8,BALMORAL ROAD,01,158.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",MANSIONETTE,FOUR SEASONS PARK,CUSCADEN WALK,11,267.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,RIDGEWOOD,RIDGEWOOD CLOSE,21,187.0,Condominium,1885,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,GRANGE HEIGHTS,ST. THOMAS WALK,06,175.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,SOPHIA RESIDENCE,SOPHIA ROAD,11,236.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,THE SOLITAIRE,BALMORAL PARK,06,151.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",4 ROOM,ONE JERVOIS,JERVOIS CLOSE,01,92.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,THE HORIZON,HOLT ROAD,06,160.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",2 ROOM,ILLUMINAIRE ON DEVONSHIRE,DEVONSHIRE ROAD,01,41.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,THE TRILLIUM,KIM SENG ROAD,01,222.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",4 ROOM,THE ARC AT DRAYCOTT,DRAYCOTT DRIVE,01,105.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",5 ROOM,URBANA,RIVER VALLEY CLOSE,16,122.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,THE TATE RESIDENCES,CLAYMORE ROAD,11,298.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",4 ROOM,JERVOIS REGENCY,JERVOIS ROAD,01,88.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",MANSIONETTE,GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,06,231.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,THE LIGHT @ CAIRNHILL,CAIRNHILL CIRCLE,01,157.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",5 ROOM,CENTENNIA SUITES,KIM SENG ROAD,06,115.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,MUTIARA CREST,JALAN MUTIARA,01,122.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,MUTIARA VIEW,JALAN MUTIARA,11,121.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",5 ROOM,HELIOS RESIDENCES,CAIRNHILL CIRCLE,06,122.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,ELIZABETH TOWER,MOUNT ELIZABETH,01,292.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,LEONIE GARDENS,LEONIE HILL,16,336.0,Condominium,1990,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,RIVERIA GARDENS,RIVER VALLEY GROVE,21,133.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",5 ROOM,WILKIE 87,WILKIE ROAD,01,124.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,LANGSTON VILLE,KIM YAM ROAD,01,88.0,Apartment,1841,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,THREE THREE ROBIN,ROBIN ROAD,06,127.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",4 ROOM,J C DRAYCOTT,DRAYCOTT DRIVE,11,96.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",MANSIONETTE,ARDMORE PARK,ARDMORE PARK,06,268.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",MANSIONETTE,ARDMORE PARK,ARDMORE PARK,01,268.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",4 ROOM,POLLEN & BLEU,FARRER DRIVE,06,81.0,Condominium,2012,2025-04-01,Condo / Private Apartment
Little India,4 ROOM,LITTLE INDIA CONSERVATION AREA,SERANGOON ROAD,01,107.0,Apartment,1958,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,JERVOIS PRIVE,JERVOIS ROAD,01,136.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Middle Road, Golden Mile",4 ROOM,THE BENCOOLEN,BENCOOLEN STREET,06,82.0,Apartment,1995,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,BELMOND GREEN,BALMORAL ROAD,06,119.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
Little India,3 ROOM,STURDEE RESIDENCES,BEATTY ROAD,16,61.0,Condominium,2015,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,THE RITZ-CARLTON RESIDENCES SINGAPORE CAIRNHILL,CAIRNHILL ROAD,11,263.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
Little India,3 ROOM,STURDEE RESIDENCES,BEATTY ROAD,11,77.0,Condominium,2015,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,RIVERGATE,ROBERTSON QUAY,31,96.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",4 ROOM,THE PRINCETON,EWE BOON ROAD,01,101.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Middle Road, Golden Mile",4 ROOM,CONCOURSE SKYLINE,BEACH ROAD,16,106.0,Apartment,2008,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",5 ROOM,MONTVIEW,MOUNT SINAI DRIVE,16,114.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",3 ROOM,RV SUITES,RIVER VALLEY ROAD,06,52.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",2 ROOM,VIDA,PECK HAY ROAD,01,47.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,HILLTOPS,CAIRNHILL CIRCLE,01,169.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,RESIDENTIAL APARTMENTS,DUBLIN ROAD,01,140.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,ONE OXLEY RISE,OXLEY RISE,01,106.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",5 ROOM,THE REGALIA,RIVER VALLEY CLOSE,06,118.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,ST THOMAS SUITES,ST. THOMAS WALK,31,349.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",2 ROOM,LIV ON SOPHIA,ADIS ROAD,06,49.0,Apartment,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",MANSIONETTE,BEVERLY HILL,GRANGE ROAD,01,351.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Middle Road, Golden Mile",3 ROOM,DUO RESIDENCES,FRASER STREET,16,67.0,Apartment,2011,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,CYAN,KENG CHIN ROAD,11,136.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,BALMORAL HILLS,BALMORAL PARK,01,171.0,Condominium,Freehold,2025-04-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,CLAREMONT,KILLINEY ROAD,01,140.0,Apartment,Freehold,2025-03-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",MANSIONETTE,THE DRAYCOTT,DRAYCOTT PARK,11,245.0,Apartment,Freehold,2025-03-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,MANHATTAN MANSIONS,GRANGE ROAD,01,138.0,Apartment,Freehold,2025-03-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,HOLLYWOOD APARTMENTS,OXLEY RISE,01,92.0,Apartment,Freehold,2025-03-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,THE COSMOPOLITAN,KIM SENG ROAD,31,106.0,Condominium,Freehold,2025-03-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",EXECUTIVE,PATERSON RESIDENCE,PATERSON ROAD,06,139.0,Condominium,Freehold,2025-03-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,THE TRIZON,RIDGEWOOD CLOSE,21,187.0,Condominium,Freehold,2025-03-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",3 ROOM,MARTIN MODERN,MARTIN PLACE,21,79.0,Condominium,2016,2025-03-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,THE CLAYMORE,CLAYMORE ROAD,11,311.0,Condominium,Freehold,2025-03-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",MANSIONETTE,THE REGALIA,RIVER VALLEY CLOSE,21,246.0,Apartment,Freehold,2025-03-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,MARTIN NO 38,MARTIN ROAD,11,105.0,Apartment,Freehold,2025-03-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,CUSCADEN RESERVE,CUSCADEN ROAD,26,195.0,Condominium,2018,2025-03-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",MANSIONETTE,LEEDON RESIDENCE,LEEDON HEIGHTS,11,569.0,Condominium,Freehold,2025-03-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",3 ROOM,ZENITH,ZION ROAD,11,69.0,Apartment,1877,2025-03-01,Condo / Private Apartment
Little India,3 ROOM,CITYLIGHTS,JELLICOE ROAD,06,63.0,Condominium,2004,2025-03-01,Condo / Private Apartment
"Middle Road, Golden Mile",4 ROOM,THE BENCOOLEN,BENCOOLEN STREET,01,86.0,Apartment,1995,2025-03-01,Condo / Private Apartment
"Orchard, Cairnhill, River Valley",4 ROOM,PATERSON LINC,PATERSON ROAD,01,94.0,Apartment,Freehold,2025-03-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,FAIRLODGE,HOLLAND ROAD,01,188.0,Apartment,Freehold,2025-03-01,Condo / Private Apartment
Little India,4 ROOM,HOA NAM BUILDING,FOCH ROAD,06,82.0,Apartment,Freehold,2025-03-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",EXECUTIVE,NOUVEL 18,ANDERSON ROAD,21,164.0,Condominium,Freehold,2025-03-01,Condo / Private Apartment
"Ardmore, Bukit Timah, Holland Road, Tanglin",MANSIONETTE,CLIVEDEN AT GRANGE,GRANGE ROAD,01,264.0,Condominium,Freehold,2025-03-01,Condo / Private Apartment
Little India,3 ROOM,CARLYX GREEN,CARLISLE ROAD,01,56.0,Apartment,Freehold,2025-03-01,Condo / Private Apartment
